CODASS,NOMBRE,CR,NM
240011,Álgebra Lineal,6.0,6.005319668130795
240012,Cálculo I,6.0,5.94736328125
240013,Mecánica Fundamental,6.0,5.73427734375
240014,Química I,6.0,6.320048780487805
240015,Fundamentos de Informática,6.0,6.357337883959044
240021,Geometría,6.0,5.7676728334956175
240022,Cálculo II,6.0,5.471477328132617
240023,Termodinámica Fundamental,6.0,5.537481698389458
240024,Química II,4.5,6.061463414634146
240025,Expresión Gráfica,7.5,6.012768031189084
240031,Electromagnetismo,6.0,5.2639250390421655
240032,Métodos Numéricos,4.5,6.146262626262627
240033,Materiales,4.5,5.05294117647059
240041,Economía y Empresa,6.0,6.231933256616801
240042,Estadística,6.0,6.3004675628287545
240043,Dinámica de Sistemas,4.5,6.23214709371293
240044,Proyecto I,3.0,8.479061371841155
240051,Tecnología del Medio Ambiente y Sostenibilidad,6.0,5.943728813559322
240052,Termodinámica,6.0,6.3649051490514905
240053,Electrotecnia,6.0,5.350315789473685
240054,Mecánica de los Medios Continuos,4.5,5.645998608211552
240055,Técnicas Estadísticas para la Calidad,3.0,6.418332230311052
240061,Mecánica de Fluidos,6.0,5.649958228905597
240062,Organización y Gestión,4.5,6.448103309120258
240063,Resistencia de Materiales,6.0,6.219570602807597
240064,Proyecto II,3.0,8.416280991735539
240071,Gestión de Proyectos,6.0,6.6594444444444445
240072,Electrónica,7.5,5.972871287128713
240073,Sistemas de Fabricación,4.5,6.34077568134172
240131,Ecuaciones Diferenciales,6.0,5.722784810126583
240132,Informática,4.5,6.233452502553626
240133,Mecánica,6.0,4.657431382703263
240141,Teoría de Máquinas y Mecanismos,6.0,5.697796817625459
240151,Tecnología y Selección de Materiales,4.5,5.949965349965351
240161,Máquinas Eléctricas,6.0,6.527076411960133
240162,Optimización y Simulación,4.5,6.162828947368421
240171,Termotecnia,6.0,6.406313645621181
240172,Control Automático,6.0,5.571517671517671
240401,Ampliación de Mecánica,3.0,6.831958762886598
240402,Comunicación de Información Técnica,3.0,6.932374100719425
240403,Debates Sobre Tecnología y Sociedad,3.0,6.925925925925926
240404,Los Orígenes de la Ingeniería Moderna,3.0,7.156578947368421
240405,Juegos para Computadores. Estructura y Desarrollo,3.0,8.08134328358209
240406,Taller Eléctrico,3.0,8.705426356589147
240407,Tecnología de la Luz,3.0,6.822471910112359
240504,Tecnologías Digitales para la Comunicación de los Proyectos,3.0,8.088888888888889
240505,Historia de la Ingeniería Industrial. La Escuela de Barcelona,3.0,6.5
240507,Ampliación de Química,3.0,7.773684210526317
240601,Rehabilitación y Eficiencia Energética en la Edificación,4.5,7.4833333333333325
240605,Movilidad Eléctrica,4.5,8.166666666666666
240607,Desarrollo de Aplicaciones Basadas en Microcontroladores,4.5,7.255999999999999
240608,Taller Electrónico,4.5,8.844827586206897
240609,Sistemas Mecánicos,4.5,6.409090909090909
240610,Vehículos,4.5,6.8999999999999995
240613,Desarrollo Tecnológico y Científico en la Antigüedad. Egipto y Oriente Próximo,3.0,7.180681818181819
240615,Análisis de Datos para la Industria y los Servicios,4.5,7.84074074074074
240619,Fusión Nuclear. Iter,4.5,7.73888888888889
240621,Logística Control de Flotas y Sig,4.5,9.0
240624,La Historia de la Matemática Aplicada en la Ingeniería,3.0,6.175
240626,Albert Einstein y la Ciencia y la Técnica del Siglo XX,3.0,7.647058823529412
240627,Cultura Tecnología e Historia en China y Japón,3.0,7.871428571428571
240628,Ingeniería Industria y Sociedad,3.0,7.218181818181819
240629,Dinámica Computacional de Fluidos,4.5,8.81851851851852
240630,Sistemas de Distribución de Tuberías,4.5,8.353846153846154
240632,Sistemas de Gestión,4.5,7.568181818181818
240635,Ampliación de Resistencia de Materiales,4.5,7.90625
240636,Análisis de Componentes Estructurales y Mecánicos para el MEF,4.5,8.26153846153846
240637,La Robótica en la Ingeniería,4.5,7.336842105263158
240639,Tecnología Ferroviaria,4.5,7.422222222222222
240642,Polímeros en la Industria,4.5,7.666666666666667
240644,Técnicas de Ensayos No Destructivos Industriales,4.5,7.6
240651,Comunicación Oral en Inglés Académico y Profesional,4.5,6.378947368421053
